Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters)
F001,2,0.5393280253499214,4,1.1956865720135146,-0.1320081506942068,-0.9551564553596843,1,0,0.73816939641741
F002,1,-1.7120684365460537,2,-0.05005130830724993,1.3776595301171994,1.1997586172352668,2,0,0.44463932154813085
F003,7,0.37000052136089895,1,-0.7376099010065439,-1.2905903243401695,0.4829674076295701,4,0,0.6970578616200128
F004,8,0.9074722477582324,3,-0.5860512864868072,1.3706378199738902,0.5314094745934187,4,2,-0.419513180335614
F005,8,-0.8651410963117004,4,1.2659210519129047,1.461920051836906,1.2277641871987421,0,2,1.3706214021522616
F006,7,-1.7567732161614693,4,0.5598797013453499,-0.1039213101209713,0.8417414660805738,1,2,-0.37924970710008593
F007,6,0.7614752770531064,0,-1.1368374709609728,-0.01966078840126484,1.3526538910899142,3,1,-0.5980047602462415
F008,5,1.5189206029843176,0,0.10150730621248702,-1.044830469324359,-1.7279588048923311,4,0,-1.7536207195278346
F009,3,0.9738410939944092,0,-1.6026029692411399,1.7778970082858043,-1.755964374855806,2,1,0.12885216923554757
F010,6,-0.5114878883654366,0,-1.0074581658831485,0.190990515898001,-0.7424655050965366,3,0,1.2670111758425455
F011,5,0.1810376927758026,0,1.151327953129689,-0.8131140345951667,0.43830987714727243,0,2,-1.8841321699291858
F012,7,-0.7944249457369098,1,-0.7006443852700228,-0.08987788983435356,-1.4365494958129295,0,0,1.1949263135780201
F013,9,0.5371543731806147,0,0.131079718801704,-1.1010041504708301,-1.6363730220388049,0,2,-0.4002059788886408
F014,5,-0.06480236757282928,1,-1.4399547000004467,0.7386839070760927,-1.1867700880305851,3,1,0.564220077209498
F015,7,0.3636244749975982,3,0.1791348892591815,-0.17413841155406,0.12949170025273765,2,0,-0.8561578118317145
F016,0,-1.4110176110970214,1,-1.0037616143094965,-1.4380462373496556,-0.834808195246373,3,2,-1.1704589113157016
F017,1,0.21045445213375857,2,0.3639624679417875,-1.1150475707574479,1.5623172121678215,1,2,1.16991609263701
F018,3,-0.9182506643151037,3,0.0017004137238799519,-1.1431344113306834,-0.7863661282825243,1,1,-1.4102595253882055
F019,3,1.4923295914464607,0,-1.4103822874112297,-0.7639620635920046,0.9764709648237777,3,2,-0.0892897157651761
F020,0,-1.4209439560035237,4,-0.4788512908508957,0.6474016752130771,-0.6213603376869151,3,0,1.3247986612296012
F021,2,0.884576444908198,0,0.38614177738370037,-1.044830469324359,0.15976799210514317,0,1,-1.1107696784419383
F022,9,-1.1759009014503043,1,0.7557969347489123,0.872096399798961,0.27557480844059346,0,1,-0.5131330265597905
F023,4,-1.7338049582391244,0,1.8647624068445479,0.4156852404838849,-0.675857663021245,1,2,-0.5506077888402339
F024,5,1.6586139823984531,0,0.5192176340351765,-0.07583446954773582,0.560171951853204,0,2,0.17260495823764757
F025,0,-1.2992918895946368,1,0.6596865938339573,0.8229444287957988,-1.5833895112970955,4,2,-0.4770661428005801
F026,9,-0.6715411430987488,1,0.34917626164717896,0.015447762315279362,-0.18386792041965785,1,1,0.33767241644831714
F027,2,0.870447705807702,3,-1.6284788302567048,1.6585279358495537,-0.34433226723740606,0,0,-0.6432469365260669
F028,8,0.00888444096668102,1,0.8925693429740408,-0.14605157098082452,1.5865382456497459,4,1,0.9109990817065939
F029,9,0.24313168974567512,2,-1.1516236772555812,1.6725713561361717,0.7448573321528765,4,2,-1.2417583255631177
F030,4,0.22864067528362786,3,1.4803210431847278,-1.1431344113306834,0.26043666251439085,1,2,1.3590875426142335
F031,0,-0.8607937919730863,1,0.3639624679417875,-0.7288535128754602,-1.150438537807699,0,2,-0.9864762346779175
F032,1,0.6916285873460386,1,1.2917969129284697,0.3805766897673404,-0.20581823201265168,0,1,0.5504276841279334
F033,0,1.3896607539828556,0,1.0663072669356903,-1.009721918607815,1.4692176147216747,1,2,1.3683009960526606
F034,8,0.06634131330869852,0,-0.05744441145455401,1.6795930662794805,-1.0702063643988247,1,1,1.3345471085060971
F035,6,0.08018023211995344,0,1.3546382896805558,-0.7358752230187691,0.559415044556894,4,2,-0.48586945899611156
F036,2,1.3853134496442416,2,-0.20530647440063893,0.7527273273627104,-1.09972574895492,1,2,-0.6613329886030447
F037,6,-0.7163183777864749,2,-1.3771133232483608,1.426811501120361,0.99085220345367,1,2,0.6269599605421649
F038,0,1.2770655716127486,0,0.2974245396160494,0.5490977332067533,1.4298584353135482,4,0,-0.765380398243038
F039,2,-0.24985262225317315,1,1.8684589584182005,0.3595115593374139,-1.251107208216947,0,2,0.9567918125870913
F040,2,-0.6386465402699015,3,-0.7597892104484566,-0.7288535128754602,1.448024210424991,3,2,-1.65672459178701
F041,5,0.8392195696419901,1,1.2104727783081228,1.820027269145658,0.6018018531502611,3,0,1.0553314532542821
F042,7,1.1884530181773294,4,-1.5249753861944453,-1.2765469040535518,-0.05822130923217561,0,2,-0.8528263266572595
F043,2,-1.2764685418169124,1,-1.3142719464962747,0.4227069506271936,-1.1814717369564145,3,2,1.4090060985506387
F044,6,-1.2378499882755563,2,-0.09810647876472744,0.0926865738916768,-0.17327121827131595,3,1,-0.5968625261723042
F045,8,0.5196927007538475,4,0.12368661565439992,-1.2976120344834783,-0.6599626097987321,2,0,-0.7135048911621186
F046,1,-1.0300488408897985,4,-1.1479271256819292,-0.9746133678912706,0.3414257432195752,0,0,0.8610957160384443
F047,4,0.6716309873884134,0,-0.38643750150959266,0.19801222604131002,0.33385667025647375,3,0,1.121322794982302
F048,4,-1.2866122519403453,4,1.6392727608517688,0.4227069506271936,-0.4941999119068126,4,2,-1.8839684114275055
F049,0,1.5027631218591349,4,-0.9630995469993233,-1.5855021503591418,0.9424101364898214,0,0,-0.1053843607233041
F050,8,0.2701574317173934,3,-0.305113366889246,-1.1501561214739922,1.368548944312427,4,0,1.2414444723913005
